# run=j01 skill=skill-review backend=claude K=2 E=8 L=5 M=8
# min_delta_cheap=0.0389
# current references: runs/j01/step_4/cheap/scores.json runs/j01/step_4/cheap_ext/scores.json
commit	epoch	step	mode	val_mixed	val_hard	val_soft	sec_mixed	n_val_rollouts	status	edits_applied	description
1131042	0	0	cheap	0.3346	0.1667	0.5026		8	keep_best	0	baseline (mean of 3)
8188943	0	1	cheap	0.5173	0.3750	0.6596		16	keep_best	5	precision guard + defect checklist (desc trigger/voice/defaults, name reserved, undoc binaries, missing scripts)
9fda253	0	2	cheap	0.5887	0.3125	0.6399		16	discard	5	replace@"References: Windows paths,…": "+backslashes/nested clarif" | replace@"Prerequisites: undocumented b…": "+system binaries clarif" | insert_after@"Prerequisites…": "Structure: extraneous files|Defaults: opts no default" | replace@"Every finding must quote…": "+concrete fix req" | replace@"Do not flag aspects…": "Confine to defect list only"
3eb8766	0	3	cheap	0.4761	0.2500	0.7022		8	discard	5	replace@"1. Read SKILL.md…": "+scope restriction (no scripts/refs/features)" | replace@"5. Report findings…": "evidence-first: search then flag" | replace@"Terms: inconsistent…": "+magic-num examples" | insert_after@"Voice:…": "Defaults:+Files: checklist items"
9671f8a	0	4	cheap	0.6371	0.5625	0.7119		16	keep_best	2	insert_after@"Prerequisites: undocumented binaries…": "Structure: extraneous files (README/CHANGELOG/EXAMPLES)" | insert_after@"Structure:…": "Defaults: option lists without stated preference"
b6bbd01	0	5	cheap	0.5898	0.5000	0.6796		8	discard	5	replace@"Do not flag aspects absent…": "ONLY raise from step 4 list; ban script impl + reference file quality" | clarify Name/Terms/Prerequisites/Defaults wording
20ebdf2	0	6	cheap	0.5864	0.5000	0.6728		8	discard	5	expand Defaults+Terms synonym+Prerequisites body scan+Name exact+step5 ban script-impl-quality
53a0a73	0	7	cheap	0.6053	0.5000	0.7105		8	discard	4	clarify inconsistent-terms+nested-refs+add time-sensitive+voice examples (r10 regressed)
fa0499c	0	8	cheap	0.5609	0.3750	0.7469		8	discard	5	explicit Name spaces+action-oriented Terms+Time class+References/Voice clarif (Voice 'your' caused precision hits)
9671f8a	0	8	cheap	0.6371	0.5625	0.7116		16	keep_best	0	epoch 0 boundary authoritative pass
e2ac516	0	8	cheap	0.7742	0.7500	0.7983		8	epoch	0	epoch 0 boundary: slow_update + meta_memory
